strongs_id,Original Word,Part of Speech,Transliteration,Pronunciation,Phonetic Spelling,KJV,NASB,Word Origin
H3510,כָּאַב,Verb,ka'ab,kah-AV,(kaw-ab'),"grieving, mar, have pain, make sad (sore), (be) sorrowful","pain, cause him grief, inflicts pain, mar, painful, pains",[a primitive root]
H3511,כְּאֵב,Noun Masculine,k'eb,kabe,(keh-abe'),"grief, pain, sorrow","pain, heavy, sorrow",[from
H3512,כָּאָה,Verb,ka'ah,kah-ah,(kaw-aw'),"broken, be grieved, make sad",,[a primitive root]
H3513,כָּבַד,Verb,kabad,kah-VAHD or kah-VAYD,(kaw-bad'),"abounding with, more grievously afflict, boast, be chargeable, X be dim, glorify, be (make) glorious (things), glory, (very) great, be grievous, harden, be (make) heavy, be heavier, lay heavily, (bring to, come to, do, get, be had in) honour (self), (be) honourable (man), lade, X more be laid, make self many, nobles, prevail, promote (to honour), be rich, be (go) sore, stop","honored, honor, glorify, hardened, heavy, honors, glorified",[a primitive root]
H3514,כֹּבֶד,Noun Masculine,kobed,koh'-bed,(ko'-bed),"grievousness, heavy, great number","dense, heavy, mass, press",[from
H3515,כָּבֵד,Adjective,kabed,kah-BAYD,(kaw-bade'),"(so) great, grievous, hard(-ened), (too) heavy(-ier), laden, much, slow, sore, thick","heavy, severe, great, large, difficult, slow, burdensome",[from
H3516,כָּבֵד,Noun Feminine,kabed,kah-BED,(kaw-bade'),liver,"liver, heart",[the same as
H3517,כְּבֵדֻת,Noun Feminine,kbeduth,keh-veh-DOOTH,(keb-ay-dooth'),X heavily,difficulty,[feminine of
H3518,כָּבָה,Verb,kabah,kah-VAH,(kaw-baw'),"go (put) out, quench","quenched, extinguish, quench, go, goes, gone, put",[a primitive root]
H3519,כָּבוֹד,Noun Masculine,kabowd,kah-BOHD,(kaw-bode'),"glorious(-ly), glory, honour(-able)",,[from
H3520,כְּבוּדָּה,Noun Feminine,kbuwddah,keh-boo-dah,(keb-ood-daw'),"carriage, all glorious, stately",valuables,[irreg. feminine passive participle of
H3521,כָּבוּל,Proper Name Location,Kabuwl,kah-BOOL,(kaw-bool'),Cabul,Cabul,[from the same as
H3522,כַּבּוֹן,Proper Name Location,Kabbown,kab-BONE,(kab-bone'),Cabbon,Cabbon,[from an unused root meaning to heap up]
H3523,כְּבִיר,Noun Masculine,kbiyr,kah-BEER,(keb-eer),pillow,quilt,[from
H3524,כַּבִּיר,Adjective,kabbiyr,kah-beer,(kab-beer'),"+ feeble, mighty, most, much, strong, valiant","mighty, mighty men, mighty one, much",[from
H3525,כֶּבֶל,Noun Masculine,kebel,keh'-bel,(keh'-bel),fetter,fetters,[from an unused root meaning to twine or braid together]
H3526,כָּבַס,Verb,kabac,kah-vas,(kaw-bas'),"fuller, wash(-ing)","wash, washed, fuller's, fullers', washes",[a primitive root]
H3527,כָּבַר,Verb,kabar,kah-VAHR,(kaw-bar'),"in abundance, multiply","abundance, multiplies",[a primitive root]
H3528,כְּבָר,Adverb,kbar,keh-bar,(keb-awr'),"already, (seeing that which), now",already,[from
H3529,כְּבָר,Noun,Kbar,keh-VAHR,(keb-awr'),Chebar,Chebar,[the same as
H3530,כִּבְרָה,Noun Feminine,kibrah,kib-raw',(kib-raw'),X little,some,[feminine of
H3531,כְּבָרָה,Noun Feminine,kbarah,keh-bah-RAH,(keb-aw-raw'),sieve,sieve,[from
H3532,כֶּבֶשׂ,Noun Masculine,kebes,keh-bes,(keh-bes'),"lamb, sheep","male lambs, lambs, lamb, male lamb, sheep, male",[from an unused root meaning to dominate]
H3533,כָּבַשׁ,Verb,kabash,kah-VASH,(kaw-bash'),"bring into bondage, force, keep under, subdue, bring into subjection","subdued, brought them into subjection, assault, forced into bondage, forcing, subdue, subjugate",[a primitive root]
H3534,כֶּבֶשׁ,Noun Masculine,kebesh,keh-besh,(keh'-besh),footstool,footstool,[from
H3535,כִּבְשָׂה,Noun Feminine,kibsah,kib-saw' or kab-saw',(kib-saw'),(ewe) lamb,"ewe lamb, ewe lambs, ewe-lamb, lamb",[feminine of
H3536,כִּבְשָׁן,Noun Masculine,kibshan,kib-SHAWN,(kib-shawn'),furnace,"furnace, kiln",[from
H3537,כַּד,Noun Feminine,kad,kad,(kad),"barrel, pitcher","jar, pitchers, bowl, pitcher",[from an unused root meaning to deepen]
H3538,כְּדַב,Adjective,kdab,kuh-dahv,(ked-ab'),lying,,[(Aramaic) from a root corresponding to
H3539,כְּדַכֹּד,Noun Masculine,kadkod,kad-kode,(kad-kobe'),agate,rubies,[from the same as
H3540,כְּדָרְלָעֹמֶר,Proper Name Masculine,Kdorla`omer,keh-dor-lah-oh-mer,(ked-or-law-o'-mer),Chedorlaomer,Chedorlaomer,[of foreign origin]
H3541,כֹּה,demonstrative adverb; adverb,koh,koh,(ko),"also, here, + hitherto, like, on the other side, so (and much), such, on that manner, (on) this (manner, side, way, way and that way), + mean while, yonder","thus, so, also, here, this, this is what, this way",[from the prefix k and
H3542,כָּה,Adverb,kah,kah,(kaw),,this point,[(Aramaic) corresponding to
H3543,כָּהָה,Verb,kahah,kah-HAH,(kaw-haw'),"darken, be dim, fail, faint, restrain, X utterly",,[a primitive root]
H3544,כֵּהֶה,Adjective,keheh,keh-heh,(kay-heh'),"somewhat dark, darkish, wax dim, heaviness, smoking","dim, faded, dimly, faint, fainting",[from
H3545,כֵּהָה,Noun Feminine,kehah,keh-haw',(kay-haw'),healing,relief,[feminine of
H3546,כְּהַל,Verb,khal,keh-hal,(keh-hal'),"be able, could","able, could",[(Aramaic) a root corresponding to
H3547,כָּהַן,Verb,kahan,kah-han',(kaw-han'),"deck, be (do the office of a, execute the, minister in the) priest('s office)","minister as priests, minister as priest, serve as priests, served as priests, carry on their priesthood, decks, minister as a priest","[a primitive root, apparently meaning to mediate in religious services, but used only as denominative from"
H3548,כֹּהֵן,Noun Masculine,kohen,koh-HEN,(ko-hane'),"chief ruler, X own, priest, prince, principal officer","priest, priests, priest's, priests', priest and the priests, priestly, chief ministers",[active participle of
H3549,כָּהֵן,Noun Masculine,kahen,koh-HEN,(kaw-hane'),,"priests, priest",[(Aramaic) corresponding to
H3550,כְּהֻנָּה,Noun Feminine,khunnah,keh-hoo-NAH,(keh-hoon-naw'),"priesthood, priest's office","priesthood, priest's offices",[from
H3551,כַּו,Noun Feminine,kav,kahv or kahv-vah,(kav),window,windows,[(Aramaic) from a root corresponding to
H3552,כּוּב,Proper Name,Kuwb,koob,(koob),Chub,,[of foreign derivation]
H3553,כּוֹבַע,Noun Masculine,kowba`,koh-bah,(ko'-bah),helmet,"helmet, helmets",[from an unused root meaning to be high or rounded]
H3554,כָּוָה,Verb,kavah,kah-VAH,(kaw-vaw'),burn,scorched,[a primitive root]
H3555,כְּוִיָּה,Noun Feminine,kviyah,keh-vee-YAH,(kev-ee-yaw'),burning,burn,[from
H3556,כּוֹכָב,Noun Masculine,kowkab,koh-kawb',(ko-kawb'),star((-gazer)),"stars, star",[probably from the same as
H3557,כּוּל,Verb,kuwl,kool,(kool),"(be able to, can) abide, bear, comprehend, contain, feed, forbearing, guide, hold(-ing in), nourish(-er), be present, make provision, receive, sustain, provide sustenance (victuals)","provided, endure, contain, hold, provide, sustain, holding",[a primitive root]
H3558,כּוּמָז,Noun Masculine,kuwmaz,koo-mahz,(koo-mawz'),tablet,"bracelets, necklaces, though",[from an unused root meaning to store away]
H3559,כּוּן,Verb,kuwn,koon,(koon),"certain(-ty), confirm, direct, faithfulness, fashion, fasten, firm, be fitted, be fixed, frame, be meet, ordain, order, perfect, (make) preparation, prepare (self), provide, make provision, (be, make) ready, right, set (aright, fast, forth), be stable, (e-)stablish, stand, tarry, X very deed","established, prepared, prepare, establish, set, ready, steadfast",[a primitive root]
H3560,כּוּן,Proper Name Location,Kuwn,koon,(koon),Chun,Cun,[probably from
H3561,כַּוָּן,Noun Masculine,kavvan,kav-VAHN,(kav-vawn'),cake,cakes,[from
H3562,כּוֹנַנְיָהוּ,Proper Name Masculine,Kownanyahuw,koh-nan-yah-hoo,(ko-nan-yaw'-hoo),"Conaniah, Cononiah",Conaniah,[from
H3563,כּוֹס,noun feminine; noun masculine,kowc,kohs,(koce),"cup, (small) owl",,[from an unused root meaning to hold together]
H3564,כּוּר,noun masculine,kuwr,koor,(koor),furnace,,"[from an unused root meaning properly, to dig through]"
H3565,כּוֹר עָשָׁן,Proper Name Location,Kowr`Ashan,kohr ah-SHAHN,(kore aw-shawn'),Chor-ashan,,[from
H3566,כּוֹרֶשׁ,Proper Name Masculine,Kowresh,koh-RESH,(ko'-resh),Cyrus,Cyrus,[from the Persians]
H3567,כּוֹרֶשׁ,Proper Name Masculine,Kowresh,koh-RESH,(ko'-resh),,Cyrus,[(Aramaic) corresponding to
H3568,כּוּשׁ,"proper name, masculine person, of a people; proper name, masculine",Kuwsh,koosh,(koosh),"Chush, Cush, Ethiopia",,[probably of foreign origin]
H3569,כּוּשִׁי,Adjective,Kuwshiy,koo-shee',(koo-shee'),"Cushi, Cushite, Ethiopian(-s)","Cushite, Ethiopians, Ethiopian, Ethiopia",[patronymically from
H3570,כּוּשִׁי,Proper Name Masculine,Kuwshiy,koo-shee',(koo-shee'),Cushi,Cushi,[the same as
H3571,כּוּשִׁית,Adjective Feminine,Kuwshiyth,koo-SHEETH,(koo-sheeth'),Ethiopian,Cushite,[feminine of
H3572,כּוּשָׁן,Proper Name Location,Kuwshan,koo-SHAHN,(koo-shawn'),Cushan,Cushan,[perhaps from
H3573,כּוּשַׁן רִשְׁעָתַיִם,Proper Name Masculine,Kuwshan Rish`athayim,koo-SHAN rish-a-THA-yeem,(koo-shan' rish-aw-thah'-yim),Chushan-rishathayim,Cushan-rishathaim,[apparently from
H3574,כּוֹשָׁרָה,Noun Feminine,kowsharah,koh-shah-rah,(ko-shaw-raw'),X chain,prosperity,[from
H3575,כּוּת,Proper Name Location,Kuwth,Koo-th or Koo-thah,(kooth),Cuth,"Cuth, Cuthah",[of foreign origin]
H3576,כָּזַב,Verb,kazab,kah-ZAB,(kaw-zab'),"fail, (be found a, make a) liar, lie, lying, be in vain","lie, fail, lied, liars, lying, prove me a liar, proved a liar",[a primitive root]
H3577,כָּזָב,Noun Masculine,kazab,kah-ZAHB,(kaw-zawb'),"deceitful, false, leasing, + liar, lie, lying","lies, falsehood, lying, lie, deception, deceptive, false",[from
H3578,כֹּזָבָא,Proper Name Location,Kozba',koh-zeh-BAH,(ko-zeb-aw'),Choseba,Cozeba,[from
H3579,כֹּזבִי,Proper Name Feminine,Kozbiy,KOZ-bee,(koz-bee'),Cozbi,Cozbi,[from
H3580,כְּזִיב,Proper Name Location,Kziyb,keh-zeeb,(kez-eeb'),Chezib,Chezib,[from
H3581,כֹּחַ,Noun Masculine,koach,koh-akh,(ko'-akh),"ability, able, chameleon, force, fruits, might, power(-ful), strength, substance, wealth",,[from an unused root meaning to be firm]
H3582,כָּחַד,Verb,kachad,kah-khad',(kaw-khad'),"conceal, cut down (off), desolate, hide","hide, conceal, hidden, annihilated, concealed, cut off, destroyed",[a primitive root]
H3583,כָּחַל,Verb,kachal,kah-khal',(kaw-khal'),paint,painted,[a primitive root]
H3584,כָּחַשׁ,Verb,kachash,kah-khash',(kaw-khash'),"deceive, deny, dissemble, fail, deal falsely, be found liars, (be-)lie, lying, submit selves","deny, lied, denied, fail, pretend obedience, cringe, deceive",[a primitive root]
H3585,כַּחַשׁ,Noun Masculine,kachash,kah-khash',(kakh'-ash),"leanness, lies, lying","lies, leanness",[from
H3586,כֶּחָשׁ,Adjective,kechash,keh-khash,(kekh-awsh'),lying,FALSE,[from
H3587,כִּי,Noun Masculine,kiy,kee,(kee),burning,branding,[from
H3588,כִּי,Conjunction,kiy,kee,(kee),"and, + (forasmuch, inasmuch, where-)as, assured(-ly), + but, certainly, doubtless, + else, even, + except, for, how, (because, in, so, than) that, + nevertheless, now, rightly, seeing, since, surely, then, therefore, + (al-)though, + till, truly, + until, when, whether, while, whom, yea, yet","because, when, if, surely, indeed, since, though","[a primitive particle (the full form of the prepositional prefix) indicating causal relations of all kinds, antecedent or consequent]"
H3589,כִּיד,Noun Masculine,kiyd,kee-yed,(keed),destruction,decay,[from a primitive root meaning to strike]
H3590,כִידוֹד,Noun Masculine,kiydowd,kee-dode,(kee-dode'),spark,sparks,[from the same as
H3591,כִּידוֹן,Noun Masculine,kiydown,kee-dohn',(kee-dohn'),"lance, shield, spear, target","javelin, spear",[from the same as
H3592,כִּידוֹן,Proper Name,Kiydown,kee-dohn',(kee-dohn'),Chidon,Chidon,[the same as
H3593,כִּידוֹר,Noun Masculine,kiydowr,kee-dor,(kee-dore'),battle,attack,[of uncertain derivation]
H3594,כִּיּוּן,Proper Name,Kiyuwn,kee-YOON,(kee-yoon'),Chiun,Kiyyun,[from
H3595,כִּיּוֹר,Noun Masculine,kiyowr,kee-yore,(kee-yore'),"hearth, laver, pan, scaffold","laver, basin, basins, firepot, pan, platform",[from the same as
H3596,כִּילַי,Noun Masculine,kiylay,kee-LAH-eem,(kee-lah'-ee),churl,rogue,[from
H3597,כֵּילַף,Noun Feminine,keylaph,keh-lah-POHTH,(kay-laf'),hammer,hammers,[from an unused root meaning to clap or strike with noise]
H3598,כִּימָה,Noun Feminine,Kiymah,kee-MAH,(kee-maw'),"Pleiades, seven stars",Pleiades,[from the same as
H3599,כִּיס,Noun Masculine,kiyc,kees,(keece),"bag, cup, purse","bag, purse",[a form for
H3600,כִּיר,Noun Masculine,kiyr,keer,(keer),ranges for pots,stove,[a form for
H3601,כִּישׁוֹר,Noun Masculine,kiyshowr,kee-shore,(kee-shore'),spindle,distaff,[from
H3602,כָּכָה,Adverb,kakah,kä-kä',(kaw'-kaw),"after that (this) manner, this matter, (even) so, in such a case, thus","thus, so, just so, this manner, even so, like this, this",[from
H3603,כִּכָּר,Noun Feminine,kikkar,kik-KAR,(kik-kawr'),"loaf, morsel, piece, plain, talent","talents, talent, valley, loaf, plain, loaves, cake",[from
H3604,כִּכֵּר,Noun Feminine,kikker,kik-KAR,(kik-kare'),talent,talents,[(Aramaic) corresponding to
H3605,כֹּל,Noun Masculine,kol,kohl,(kole),"(in) all (manner, (ye)), altogether, any (manner), enough, every (one, place, thing), howsoever, as many as, (no-)thing, ought, whatsoever, (the) whole, whoso(-ever)","all, every, any, whole, everyone, everything, whoever",[from
H3606,כֹּל,Noun Masculine,kol,kohl,(kole),,"all, any, whole, all things, entire, every, whatever",[(Aramaic) corresponding to
H3607,כָּלָא,Verb,kala',kah-LAH,(kaw-law'),"finish, forbid, keep (back), refrain, restrain, retain, shut up, be stayed, withhold","shut, restrain, restrained, withheld, hold them back, kept, refuse",[a primitive root]
H3608,כֶּלֶא,Noun Masculine,kele',keh'-leh,(keh'-leh),prison,"prison, prisons",[from
H3609,כִּלְאָב,Proper Name Masculine,Kil'ab,kee-LAHB,(kil-awb'),Chileab,Chileab,[apparently from
H3610,כִּלְאַיִם,Noun Masculine,kil'ayim,kee-lah'-yim,(kil-ah'-yim),"divers seeds (-e kinds), mingled (seed)",two kinds,[dual of
H3611,כֶּלֶב,Noun Masculine,keleb,keh'-leb,(keh'-leb),dog,"dogs, dog, dog's","[from an unused root means. to yelp, or else to attack]"
H3612,כָּלֵב,Proper Name Masculine,Kaleb,kah-LEB,(kaw-labe'),Caleb,"Caleb, Caleb's",[perhaps a form of
H3613,כָּלֵב אֶפְרָתָה,Proper Name Location,Kaleb 'Ephrathah,kah-LEB ef-rah-TAH,(kaw-labe' ef-raw'-thaw),Caleb-ephrathah,Caleb-ephrathah,[from
H3614,כָּלִבּוֹ,"Adjective, of a people",Kalibbow,kah-LEE-bo or kah-LEH-bee,(kaw-lib-bo'),of the house of Caleb,Calebite,[patronymically from
H3615,כָּלָה,Verb,kalah,kah-LAH,(kaw-law'),"accomplish, cease, consume (away), determine, destroy (utterly), be (when  were) done, (be an) end (of), expire, (cause to) fail, faint, finish, fulfil, X fully, X have, leave (off), long, bring to pass, wholly reap, make clean riddance, spend, quite take away, waste","finished, consumed, completed, destroy, fail, consume, finish",[a primitive root]
H3616,כָּלֶה,Adjective,kaleh,kah-leh,(kaw-leh'),fail,yearn,[from
H3617,כָּלָה,Noun Feminine,kalah,kah-LAH,(kaw-law'),"altogether, (be, utterly) consume(-d), consummation(-ption), was determined, (full, utter) end, riddance","complete destruction, complete end, completely, destruction, full end, annihilation, end",[from
H3618,כַּלָה,Noun Feminine,kallah,kal-lah',(kal-law'),"bride, daughter-in-law, spouse","bride, daughter-in-law, daughters-in-law, brides",[from
H3619,כְּלוּב,Noun Masculine,klub,keh-loob',(kel-oob'),"basket, cage","basket, cage",[from the same as
H3620,כְּלוּב,Proper Name Masculine,Kluwb,keh-LOOB,(kel-oob'),Chelub,Chelub,[the same as
H3621,כְּלוּבַי,Proper Name Masculine,Kluwbay,keh-loo-bah'ee,(kel-oo-bay'-ee),Chelubai,Chelubai,[a form of
H3622,כְּלוּהַיֹ,Proper Name Masculine,Kluwhay,keh-loo-hee,(kel-oo-hah'-ee),Chelluh,Cheluhi,[from
H3623,כְּלוּלָה,Noun Feminine,kluwlah,keh-loo-LAH,(kel-oo-law'),espousal,betrothals,[denominative passive participle from
H3624,כֶּלַח,Noun Masculine,kelach,keh-lakh,(keh'-lakh),full (old) age,"full vigor, vigor",[from an unused root meaning to be complete]
H3625,כֶּלַח,Proper Name Location,Kelach,keh-lakh,(keh'-lakh),Calah,Calah,[the same as
H3626,כָּל־חֹזֶה,Proper Name Masculine,Kol-Chozeh,kohl-kho-ZEH,(kol-kho-zeh'),Col-hozeh,Col-hozeh,[from
H3627,כְּלִי,Noun Masculine,kliy,keh-LEE,(kel-ee'),"armour ((-bearer)), artillery, bag, carriage, + furnish, furniture, instrument, jewel, that is made of, X one from another, that which pertaineth, pot, + psaltery, sack, stuff, thing, tool, vessel, ware, weapon, + whatsoever","utensils, vessels, articles, vessel, armor, weapons, instruments",[from
H3628,כְּלִיא,Noun Masculine,kliy',keh-LEE,(kel-ee'),prison,,[from
H3629,כִּלְיָה,Noun Feminine,kilyah,kil-yaw',(kil-yaw'),"kidneys, reins","kidneys, mind, inward parts, feelings, heart, inmost being, minds",[feminine of
H3630,כִּלְיוֹן,Proper Name Masculine,Kilyown,kil-yone',(kil-yone'),Chilion,Chilion,[a form of
H3631,כִּלָּיוֹן,Noun Masculine,killayown,kil-lah-YONE,(kil-law-yone'),"consumption, failing","destruction, failing",[from
H3632,כָּלִיל,Adjective; substantive; Adjective; substantive,kaliyl,kah-LEEL,(kaw-leel'),"all, every whit, flame, perfect(-ion), utterly, whole burnt offering (sacrifice), wholly","perfect, all, whole, whole burnt offering, burned entirely, completely, entirely",[from
H3633,כַּלְכֹּל,Proper Name Masculine,Kalkol,kal-kole',(kal-kole'),"Calcol, Chalcol",Calcol,[from
H3634,כָּלַל,Verb,kalal,kah-LAHL,(kaw-lal'),(make) perfect,perfected,[a primitive root]
H3635,כְּלַל,Verb,klal,keh-LAHL,(kel-al'),"finish, make (set) up","finished, finish, finishing",[(Aramaic) corresponding to
H3636,כְּלָל,Proper Name Masculine,Klal,keh-LAHL,(kel-awl'),Chelal,Chelal,[from
H3637,כָּלַם,Verb,kalam,kah-LAHM,(kaw-lawm'),"be (make) ashamed, blush, be confounded, be put to confusion, hurt, reproach, (do, put to) shame","humiliated, dishonored, ashamed, insulted, blush, humiliates, bear her shame",[a primitive root]
H3638,כִּלְמָד,Proper Name Location,Kilmad,kil-MAD,(kil-mawd'),Chilmad,Chilmad,[of foreign derivation]
H3639,כּלִמָּה,Noun Feminine,klimmah,keh-leem-mah',(kel-im-maw'),"confusion, dishonour, reproach, shame","disgrace, humiliation, dishonor, insults, shame, reproach, reproaches",[from
H3640,כְּלִמּוּת,Noun Feminine,klimmuwth,keh-leem-mooth,(kel-im-mooth'),shame,humiliation,[from
H3641,כְּלְנֶה,Proper Name Location,Kalneh,kal-neh',(kal-neh'),"Calneh, Calno",,[of foreign derivation]
H3642,כָּמַהּ,Verb,kamahh,kah-MAH,(kaw-mah),long,yearns,[a primitive root]
H3643,כִּמְהָם,"proper name, masculine ; noun, of location",Kimham,kim-HAM,(kim-hawm'),Chimham,Chimham,[from
H3644,כְּמוֹ,adverb; conjunction; substantive; conjunction,kmow,keh-mo or kah-mo,(kem-o'),"according to, (such) as (it were, well as), in comparison of, like (as, to, unto), thus, when, worth","like, such, alike, comparison, if, likewise, so","[a form of the prefix ""k-"", but used separately]"
H3645,כְּמוֹשׁ,Proper Name,Kmowsh,keh-MOHSH,(kem-oshe'),Chemosh,Chemosh,[from an unused root meaning to subdue]
H3646,כַּמֹּן,Noun Masculine,kammon,kam-mone',(kam-mone'),cummin,cummin,[from an unused root meaning to store up or preserve]
H3647,כָּמַס,Verb,kamac,kah-MAS,(kaw-mas'),lay up in store,laid up in store,[a primitive root]
H3648,כְּמַר,Verb,kamar,kah-MAR,(kaw-mar'),"be black, be kindled, yearn","stirred, become as hot, kindled",[a primitive root]
H3649,כָּמָר,Noun Masculine,kamar,koh'-mer,(kaw-mawr'),Chemarims (idolatrous) priests,idolatrous priests,[from
H3650,כִּמְרִיר,Noun Masculine,kimriyr,kim-REER,(kim-reer'),blackness,blackness,[redupl. from
H3651,כֵּן,Adjective; adverb; feminine; adverb,ken,kane,(kane),"+ after that (this, -ward, -wards), as  as, + (for-)asmuch as yet, + be (for which) cause, + following, howbeit, in (the) like (manner, -wise), X the more, right, (even) so, state, straightway, such (thing), surely, + there (where)-fore, this, thus, true, well, X you","so, therefore, thus, this, likewise, same, more",[from
H3652,כֵּן,Adverb,ken,kane,(kane),thus,"follows, thus",[(Aramaic) corresponding to
H3653,כֵּן,Noun Masculine,ken,kane,(kane),"base, estate, foot, office, place, well",,[the same as
H3654,כֵּן,Noun Masculine,ken,kane,(kane),"lice, X manner","gnats, manner",[from
H3655,כָּנָה,Verb,kanah,kah-NAH,(kaw-naw'),"give flattering titles, surname (himself)","flatter, given you a title, name with honor, title of honor",[a primitive root]
H3656,כַּנֶּה,Proper Name Location,Kanneh,kan-neh',(kan-neh'),Canneh,Canneh,[for
H3657,כַּנָּה,Noun Feminine,kannah,kan-nah,(kaw-naw'),X vineyard,shoot,[from
H3658,כִּנּוֹר,Noun Masculine,kinnowr,kin-nore',(kin-nore'),harp,"lyre, lyres, harp, harps",[from a unused root meaning to twang]
H3659,כָּנְיָהוּ,Proper Name Masculine,Konyahuw,koh-nyah-hoo,(kon-yaw'-hoo),Coniah,,[for
H3660,כָּנֵמָא,Adverb,knema',keh-neh-mah,(ken-ay-maw'),"so, (in) this manner (sort), thus","thus, accordingly, follows",[(Aramaic) corresponding to
H3661,כָּנַן,Noun Feminine,kanan,kah-nan',(kaw-nan'),X vineyard,,[a primitive root]
H3662,כְּנָנִי,Proper Name Masculine,Knaniy,keh-nah-NEE,(ken-aw-nee'),Chenani,"Chenani, thus",[from
H3663,כְּנַנְיָה,Proper Name Masculine,Knanyah,keh-nan-YAH-hoo,(ken-an-yaw'),Chenaniah,Chenaniah,[from
H3664,כָּנַס,Verb,kanac,kah-NAHS,(kaw-nas'),"gather (together), heap up, wrap self","gather, gathers, assemble, collected, collecting, gathered, wrap",[a primitive root]
H3665,כָּנַע,Verb,kana`,kah-NAH,(kaw-nah'),"bring down (low), into subjection, under, humble (self), subdue","humbled, subdued, humble, subdue, humbled yourself, becomes humbled, done",[a primitive root]
H3666,כִּנְעָה,Noun Feminine,kin`ah,kee-naw',(kin-aw'),wares,bundle,[from
H3667,כִּנַעַן,"proper name, masculine; proper name, masculine; noun masculine",Kna`an,kuh-NAH-an,(ken-ah'-an),"Canaan, merchant, traffick",,[from
H3668,כְּנַעֲנָה,Proper Name Feminine,Kna`anah,keh-nah-ah-NAH,(ken-ah-an-aw'),Chenaanah,Chenaanah,[feminine of
H3669,כְּנַעַנִי,"Adjective; name, of a people; substantive; noun masculine",Kna`aniy,kuh-nah-ah-nee,(ken-ah-an-ee'),"Canaanite, merchant, trafficker",,[patrial from
H3670,כָּנַף,Verb,kanaph,kah-NAHF,(kaw-naf'),be removed,hide,[a primitive root]
H3671,כָּנָף,Noun Feminine,kanaph,kah-NAHF,(kaw-nawf'),"+ bird, border, corner, end, feather(-ed), X flying, + (one an-)other, overspreading, X quarters, skirt, X sort, uttermost part, wing((-ed))","wings, wing, edge, winged, corners, ends, kind",[from
H3672,כִּנְּרוֹת,Proper Name Location,Kinnrowth,kin-naw-roth' or kin-neh'-reth,(kin-ner-oth'),"Chinnereth, Chinneroth, Cinneroth","Chinnereth, Chinneroth",[respectively plural and singular feminine from the same as
H3673,כָּנַשׁ,Verb,kanash,keh-nash,(kaw-nash'),gather together,"assemble, assembled, gathered around",[(Aramaic) corresponding to
H3674,כְּנָת,Noun Masculine,knath,keh-nath,(ken-awth'),companion,colleagues,[from
H3675,כְּנָת,Noun Masculine,knath,keh-nath,(ken-awth'),,colleagues,[(Aramaic) corresponding to
H3676,כֵּס,Noun Masculine,kec,kays,(kace),,,[apparently a contraction for
H3677,כֶּסֶא,Noun Masculine,kece',keh-seh,(keh'-seh),(time) appointed,full moon,[apparently from
H3678,כִּסֵּא,Noun Masculine,kicce',kis-seh',(kis-say'),"seat, stool, throne","throne, seat, thrones, authority, chair, official seat, throne the thrones",[from
H3679,כַּסְדַּי,Adjective,Kacday,kas-DEEM,(kas-dah'-ee),,,[for
H3680,כָּסָה,Verb,kacah,kah-sah',(kaw-saw'),"clad self, close, clothe, conceal, cover (self), (flee to) hide, overwhelm","covered, cover, covers, conceals, covering, engulfed, closed",[a primitive root]
H3681,כָּסוּי,Noun Masculine,kacuwy,kah-SOO-ee,(kaw-soo'-ee),covering,"cover, covering",[passive participle of
H3682,כְּסוּת,Noun Feminine,kcuwth,keh-SOOTH,(kes-ooth'),"covering, raiment, vesture","covering, clothing, garment, vindication",[from
H3683,כָּסַח,Verb,kacach,kah-sakh,(kaw-sakh'),cut down (up),"cut, cut down",[a primitive root]
H3684,כְּסִיל,Noun Masculine,kciyl,kuh-SEEL,(kes-eel'),fool(-ish),"fool, fools, foolish, fool's, foolish man's, stupid, stupid man",[from
H3685,כְּסִיל,Noun Masculine,Kciyl,keh-SEEL,(kes-eel'),"constellation, Orion","Orion, constellations",[the same as
H3686,כִּסיל,Proper Name Location,Kciyl,kuh-SEEL,(kes-eel'),Chesil,Chesil,[the same as
H3687,כְּסִילוּת,Noun Feminine,kciyluwth,keh-see-LOOTH,(kes-eel-ooth'),foolish,folly,[from
H3688,כָּסַל,Verb,kacal,kah-sahl,(kaw-sal'),be foolish,foolish,[a primitive root]
H3689,כֶּסֶל,Noun Masculine,kecel,keh'-sel,(keh'-sel),"confidence, flank, folly, hope, loin","loins, confidence, folly and the foolishness, foolish, thighs",[from
H3690,כְּסִלָה,Noun Feminine,kiclah,kis-lah',(kis-law'),"confidence, folly","confidence, folly",[feminine of
H3691,כִּסְלֵו,Proper Name Masculine,Kiclev,kis-LAYV,(kis-lave'),Chisleu,Chislev,[probably of foreign origin]
H3692,כִּסְלוֹן,Proper Name Masculine,Kiclown,kis-LOHN,(kis-lone'),Chislon,Chislon,[from
H3693,כְּסָלוֹן,Proper Name Location,Kcalown,keh-saw-LONE,(kes-aw-lone'),Chesalon,Chesalon,[from
H3694,כְּסֻלּוֹת,Proper Name Location,Kcullowth,keh-soo-LOTH,(kes-ool-loth'),Chesulloth,Chesulloth,[feminine plural of passive participle of
H3695,כַּסְלֻחִים,Noun,Kacluchiym,kas-loo-kheem',(kas-loo'-kheem),Casluhim,"Casluh, Casluhim",[a plural probably of foreign derivation]
H3696,כִּסְלת תָּבֹר,Proper Name Location,Kicloth Tabor,kis-LOTH tah-BOHR,(kis-loth' taw-bore'),Chisloth-tabor,Chisloth-tabor,[from the feminine plural of
